"Own health
",Household/Family health,Vulnerable people’s health,Canadian population’s health,World population’s health,Overloading health system,Civil disorder,Maintaining social ties,Cooperation and support during crisis,"Cooperation and support after crisis
","
Family stress from confinement","
Violence in the home",Gender,Job loss,Meeting financial obligations,PPROV,VERDATE
Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Agree,Minor impact,AB,MAY
Not at all,Somewhat,Very,Somewhat,Somewhat,Somewhat,Very,Very,Very,Very,Very,Not at all,Male,Disagree,No impact,QC,MAY
Somewhat,Extremely,Extremely,Very,Very,Very,Extremely,Somewhat,Very,Extremely,Somewhat,Not at all,Male,Disagree,Moderate impact,MB,MAY
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,BC,MAY
Very,Very,Extremely,Very,Very,Extremely,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Strongly agree,Minor impact,AB,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Somewhat,Not at all,Female,Strongly disagree,Moderate impact,NS,MAY
Not at all,Not at all,Very,Very,Somewhat,Very,Somewhat,Not at all,Somewhat,Very,Not at all,Not at all,Female,Strongly disagree,No impact,ON,MAY
Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Not at all,Not at all,Not at all,Male,Strongly disagree,No impact,MB,MAY
Not at all,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Somewhat,Somewhat,Not at all,Female,Disagree,Moderate impact,ON,MAY
Somewhat,Very,Extremely,Very,Very,Extremely,Very,Somewhat,Very,Very,Not at all,Not at all,Female,Agree,Moderate impact,ON,MAY
Extremely,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Extremely,Extremely,Somewhat,Not at all,Female,Not working at a job or business,Minor impact,ON,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Very,Extremely,Somewhat,Female,Neither agree nor disagree,Moderate impact,ON,MAY
Very,Very,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Not at all,Not at all,Female,Not working at a job or business,No impact,BC,MAY
Somewhat,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Extremely,Not at all,Female,Neither agree nor disagree,No impact,ON,MAY
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,SK,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Extremely,Not at all,Female,Not working at a job or business,Moderate impact,ON,MAY
Somewhat,Somewhat,Very,Very,Very,Very,Not at all,Somewhat,Very,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,ON,MAY
Very,Extremely,Extremely,Very,Very,Extremely,Very,Somewhat,Very,Very,Very,Not at all,Male,Strongly disagree,Minor impact,SK,MAY
Somewhat,Very,Very,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Extremely,Not at all,Female,Not working at a job or business,Minor impact,QC,MAY
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Extremely,Very,Somewhat,Somewhat,Not at all,Not at all,Female,Neither agree nor disagree,Moderate impact,ON,MAY
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Not at all,Very,Very,Somewhat,Not at all,Female,Neither agree nor disagree,Minor impact,ON,MAY
Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Very,Somewhat,Not at all,Very,Somewhat,Very,Not at all,Female,Strongly disagree,No impact,SK,MAY
Somewhat,Somewhat,Extremely,Very,Very,Very,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,Minor impact,ON,MAY
Very,Very,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Somewhat,Not at all,Female,Neither agree nor disagree,Moderate impact,SK,MAY
Very,Extremely,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,No impact,BC,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Very,Somewhat,Not at all,Female,Not working at a job or business,No impact,ON,MAY
Somewhat,Not at all,Somewhat,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Strongly disagree,No impact,ON,MAY
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,QC,MAY
Not at all,Not at all,Not at all,Very,Very,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Female,Disagree,Moderate impact,NB,JUNE
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Extremely,Very,Very,Not at all,Male,Strongly disagree,Minor impact,ON,JUNE
Somewhat,Very,Somewhat,Very,Very,Extremely,Extremely,Very,Somewhat,Extremely,Somewhat,Somewhat,Male,Neither agree nor disagree,Moderate impact,QC,JUNE
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Female,Agree,No impact,AB,JUNE
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Somewhat,Not at all,Female,Strongly disagree,Minor impact,ON,JUNE
Somewhat,Somewhat,Very,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,Too soon to tell,ON,JUNE
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Agree,No impact,ON,JUNE
Somewhat,Extremely,Extremely,Very,Very,Extremely,Very,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,Too soon to tell,BC,JUNE
Somewhat,Not at all,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,Disagree,Minor impact,ON,JUNE
Somewhat,Extremely,Extremely,Somewhat,Very,Very,Not at all,Not at all,Somewhat,Very,Somewhat,Not at all,Female,Not working at a job or business,No impact,ON,JUNE
Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Agree,Moderate impact,ON,JUNE
Somewhat,Somewhat,Extremely,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,Male,Strongly disagree,No impact,ON,JUNE
Very,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Not at all,Somewhat,Very,Extremely,Not at all,Female,Strongly agree,Major impact,ON,JUNE
Very,Extremely,Extremely,Very,Very,Very,Somewhat,Not at all,Very,Extremely,Somewhat,Very,Female,Not working at a job or business,Major impact,ON,JUNE
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Female,Strongly disagree,Minor impact,QC,JUNE
Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Agree,Major impact,NS,JUNE
Very,Very,Extremely,Very,Very,Extremely,Very,Very,Extremely,Extremely,Extremely,Not at all,Female,Strongly agree,Major impact,AB,JUNE
Somewhat,Extremely,Extremely,Very,Somewhat,Very,Very,Very,Somewhat,Somewhat,Very,Not at all,Female,Disagree,Moderate impact,ON,JUNE
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Very,Not at all,Female,Disagree,No impact,ON,JUNE
Not at all,Somewhat,Extremely,Very,Very,Very,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Disagree,No impact,BC,JUNE
Somewhat,Somewhat,Extremely,Very,Very,Very,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Male,Strongly disagree,Moderate impact,ON,JUNE
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Somewhat,Not at all,Male,Strongly disagree,No impact,NS,JUNE
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Not at all,Somewhat,Somewhat,Very,Not at all,Male,Disagree,No impact,BC,JUNE
Very,Very,Very,Very,Very,Extremely,Very,Very,Very,Very,Very,Somewhat,Female,Strongly agree,Major impact,BC,JUNE
Somewhat,Very,Extremely,Very,Very,Very,Somewhat,Very,Extremely,Extremely,Not at all,Not at all,Female,Strongly agree,Too soon to tell,ON,JUNE
Somewhat,Somewhat,Very,Somewhat,Not at all,Very,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Male,Strongly disagree,Major impact,ON,JUNE
Somewhat,Very,Very,Not at all,Not at all,Very,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Female,Strongly agree,Major impact,BC,JUNE
Somewhat,Somewhat,Very,Extremely,Extremely,Extremely,Not at all,Not at all,Very,Very,Not at all,Not at all,Female,Strongly disagree,Minor impact,ON,JUNE
Somewhat,Not at all,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,Disagree,No impact,ON,JUNE
Very,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Major impact,MB,JUNE
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Very,Not at all,Somewhat,Somewhat,Male,Neither agree nor disagree,Moderate impact,MB,JUNE
Very,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Female,Strongly disagree,No impact,SK,JUNE
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Not at all,Extremely,Somewhat,Somewhat,Not at all,Female,Strongly agree,Major impact,SK,JUNE
Somewhat,Very,Very,Extremely,Extremely,Extremely,Somewhat,Not at all,Not at all,Somewhat,Not at all,Not at all,Female,Strongly agree,Moderate impact,ON,JUNE
Very,Not at all,Very,Very,Very,Very,Not at all,Somewhat,Somewhat,Very,Not at all,Not at all,Female,Not working at a job or business,Minor impact,NB,JUNE
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Not working at a job or business,Too soon to tell,NL,JUNE
Somewhat,Very,Very,Very,Somewhat,Extremely,Very,Very,Extremely,Extremely,Very,Not at all,Female,Strongly disagree,Too soon to tell,AB,JUNE
Somewhat,Somewhat,Very,Somewhat,Very,Very,Extremely,Very,Extremely,Extremely,Somewhat,Not at all,Female,Strongly disagree,No impact,BC,JUNE
Somewhat,Extremely,Extremely,Very,Very,Very,Not at all,Somewhat,Not at all,Not at all,Somewhat,Not at all,Female,Strongly disagree,Minor impact,MB,JUNE
Very,Very,Extremely,Very,Very,Extremely,Somewhat,Not at all,Somewhat,Extremely,Extremely,Not at all,Female,Strongly agree,Moderate impact,ON,JUNE
Somewhat,Extremely,Extremely,Somewhat,Somewhat,Extremely,Extremely,Somewhat,Not at all,Not at all,Not at all,Not at all,Female,Strongly agree,Major impact,AB,JUNE
Very,Somewhat,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,Too soon to tell,ON,JUNE
Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Extremely,Somewhat,Extremely,Extremely,Extremely,Not at all,Not at all,Male,Strongly agree,Too soon to tell,ON,JUNE
Somewhat,Somewhat,Very,Very,Somewhat,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,Minor impact,ON,JUNE
Somewhat,Very,Extremely,Very,Extremely,Extremely,Somewhat,Extremely,Extremely,Very,Very,Not at all,Female,Neither agree nor disagree,Minor impact,BC,JUNE
Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Very,Very,Very,Somewhat,Extremely,Not at all,Female,Strongly agree,Major impact,NS,JUNE
Very,Very,Very,Very,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Not at all,Male,Strongly disagree,Minor impact,BC,JUNE
Not at all,Extremely,Extremely,Very,Very,Extremely,Somewhat,Very,Very,Extremely,Somewhat,Not at all,Female,Strongly disagree,No impact,ON,JUNE
Not at all,Somewhat,Very,Not at all,Not at all,Somewhat,Very,Very,Very,Somewhat,Very,Not at all,Male,Agree,Moderate impact,QC,JUNE
Very,Somewhat,Extremely,Somewhat,Somewhat,Extremely,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,ON,JUNE
Somewhat,Somewhat,Extremely,Very,Very,Very,Not at all,Very,Somewhat,Somewhat,Somewhat,Somewhat,Female,Agree,Moderate impact,ON,JUNE
Not at all,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Not working at a job or business,Too soon to tell,NS,JUNE
Somewhat,Somewhat,Very,Very,Extremely,Very,Very,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Strongly disagree,Minor impact,ON,JUNE
Not at all,Not at all,Somewhat,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Male,Strongly agree,Moderate impact,QC,JUNE
Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Not working at a job or business,Major impact,ON,JUNE
Very,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Male,Not working at a job or business,Major impact,AB,JUNE
Somewhat,Somewhat,Very,Very,Extremely,Extremely,Very,Extremely,Very,Very,Extremely,Not at all,Female,Not working at a job or business,No impact,SK,JUNE
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Extremely,Somewhat,Not at all,Female,Strongly agree,Major impact,ON,JUNE
Not at all,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,Strongly disagree,No impact,BC,JUNE
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Somewhat,Very,Somewhat,Not at all,Female,Strongly agree,Minor impact,ON,JUNE
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Very,Somewhat,Not at all,Male,Neither agree nor disagree,No impact,ON,JUNE
Very,Somewhat,Very,Somewhat,Somewhat,Very,Very,Very,Very,Very,Somewhat,Not at all,Female,Neither agree nor disagree,Moderate impact,AB,JUNE
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Male,Strongly agree,Major impact,NS,JULY
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Very,Extremely,Not at all,Not at all,Male,Neither agree nor disagree,Too soon to tell,ON,JULY
Not at all,Not at all,Extremely,Somewhat,Somewhat,Very,Extremely,Not at all,Extremely,Extremely,Very,Somewhat,Female,Neither agree nor disagree,Too soon to tell,SK,JULY
Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Not at all,Very,Somewhat,Not at all,Not at all,Not at all,Female,Disagree,Moderate impact,ON,JULY
Somewhat,Not at all,Extremely,Very,Extremely,Extremely,Somewhat,Somewhat,Not at all,Not at all,Very,Not at all,Male,Strongly agree,Major impact,ON,JULY
Somewhat,Extremely,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,ON,JULY
Somewhat,Very,Not at all,Somewhat,Somewhat,Very,Somewhat,Not at all,Somewhat,Very,Very,Not at all,Female,Strongly disagree,No impact,BC,JULY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Extremely,Extremely,Not at all,Male,Strongly disagree,No impact,ON,JULY
Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Strongly agree,Major impact,ON,JULY
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Somewhat,Not at all,Female,Agree,Minor impact,BC,JULY
Somewhat,Somewhat,Extremely,Very,Very,Very,Very,Very,Somewhat,Somewhat,Very,Very,Female,Strongly disagree,Minor impact,NB,JULY
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Very,Very,Not at all,Female,Agree,Too soon to tell,ON,JULY
Somewhat,Very,Very,Very,Somewhat,Extremely,Somewhat,Somewhat,Somewhat,Very,Extremely,Not at all,Female,Agree,Minor impact,ON,JULY
Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Not working at a job or business,Too soon to tell,ON,JULY
Not at all,Somewhat,Very,Very,Not at all,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Strongly agree,Major impact,ON,JULY
Somewhat,Very,Extremely,Very,Very,Extremely,Extremely,Very,Extremely,Extremely,Very,Very,Male,Strongly agree,Moderate impact,BC,JULY
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,Disagree,Minor impact,ON,JULY
Very,Extremely,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,Agree,Major impact,QC,JULY
Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Female,Strongly disagree,No impact,ON,JULY
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Extremely,Not at all,Not at all,Somewhat,Not at all,Female,Strongly agree,Too soon to tell,ON,JULY
Somewhat,Very,Extremely,Very,Very,Very,Very,Very,Very,Very,Very,Not at all,Female,Strongly agree,Major impact,NU,JULY
Somewhat,Very,Extremely,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Not working at a job or business,No impact,AB,JULY
Somewhat,Somewhat,Very,Extremely,Very,Extremely,Very,Somewhat,Somewhat,Not at all,Very,Not at all,Male,Disagree,Too soon to tell,AB,JULY
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Female,Agree,Moderate impact,ON,JULY
Very,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Very,Very,Very,Very,Not at all,Male,Strongly agree,Major impact,NS,JULY
Somewhat,Very,Very,Somewhat,Very,Very,Not at all,Not at all,Very,Not at all,Somewhat,Not at all,Female,Strongly agree,Moderate impact,ON,JULY
Somewhat,Somewhat,Somewhat,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,Moderate impact,BC,JULY
Very,Very,Extremely,Very,Very,Extremely,Somewhat,Extremely,Somewhat,Somewhat,Very,Not at all,Female,Not working at a job or business,No impact,ON,JULY
Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Very,Extremely,Extremely,Very,Not at all,Not at all,Female,Not working at a job or business,No impact,AB,JULY
Very,Very,Very,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Female,Strongly agree,Minor impact,ON,JULY
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,Minor impact,AB,JULY
Somewhat,Very,Very,Very,Extremely,Extremely,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Male,Disagree,Minor impact,BC,JULY
Very,Somewhat,Extremely,Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Strongly disagree,No impact,ON,JULY
Somewhat,Very,Very,Very,Very,Very,Very,Very,Very,Very,Somewhat,Not at all,Female,Strongly agree,Major impact,BC,JULY
Very,Extremely,Very,Very,Somewhat,Very,Very,Very,Very,Very,Very,Somewhat,Female,Not working at a job or business,Major impact,ON,JULY
Somewhat,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Very,Extremely,Not at all,Male,Disagree,Minor impact,ON,JULY
Somewhat,Not at all,Somewhat,Very,Very,Very,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Disagree,No impact,ON,JULY
Extremely,Extremely,Extremely,Very,Very,Very,Very,Somewhat,Somewhat,Not at all,Very,Not at all,Female,Neither agree nor disagree,No impact,ON,JULY
Somewhat,Not at all,Very,Very,Very,Extremely,Very,Somewhat,Very,Somewhat,Not at all,Somewhat,Female,Strongly disagree,No impact,QC,JULY
Extremely,Extremely,Extremely,Very,Somewhat,Extremely,Somewhat,Not at all,Very,Extremely,Somewhat,Not at all,Female,Strongly disagree,No impact,NU,JULY
Very,Very,Very,Somewhat,Somewhat,Very,Not at all,Very,Very,Not at all,Not at all,Not at all,Male,Strongly disagree,No impact,AB,JULY
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Neither agree nor disagree,Too soon to tell,BC,JULY
Extremely,Extremely,Extremely,Very,Very,Very,Very,Not at all,Very,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,Too soon to tell,ON,JULY
Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Not at all,Female,Disagree,Moderate impact,BC,JULY
Somewhat,Somewhat,Extremely,Somewhat,Very,Extremely,Extremely,Not at all,Somewhat,Very,Somewhat,Very,Male,Strongly disagree,Too soon to tell,ON,JULY
Somewhat,Extremely,Extremely,Very,Somewhat,Very,Very,Somewhat,Very,Very,Extremely,Not at all,Female,Not working at a job or business,Moderate impact,ON,JULY
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Somewhat,Very,Very,Somewhat,Very,Not at all,Female,Disagree,Minor impact,QC,JULY
Somewhat,Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Not at all,Not at all,Somewhat,Not at all,Female,Strongly disagree,No impact,QC,JULY
Somewhat,Not at all,Extremely,Somewhat,Somewhat,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Male,Agree,Minor impact,QC,JULY
Very,Very,Extremely,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,Minor impact,AB,JULY
Somewhat,Somewhat,Extremely,Very,Very,Very,Very,Not at all,Very,Very,Somewhat,Not at all,Female,Strongly agree,Moderate impact,ON,JULY
Somewhat,Somewhat,Very,Very,Somewhat,Extremely,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Disagree,Minor impact,ON,JULY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Disagree,Minor impact,ON,JULY
Very,Very,Very,Very,Very,Very,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,Too soon to tell,ON,JULY
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Not at all,Not at all,Somewhat,Not at all,Male,Agree,Too soon to tell,ON,JULY
Very,Very,Very,Very,Very,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Male,Agree,Too soon to tell,NL,JULY
Not at all,Not at all,Somewhat,Extremely,Extremely,Very,Somewhat,Very,Somewhat,Not at all,Somewhat,Not at all,Female,Agree,Minor impact,BC,JULY
Somewhat,Somewhat,Not at all,Very,Extremely,Very,Somewhat,Not at all,Not at all,Not at all,Somewhat,Somewhat,Female,Strongly disagree,Too soon to tell,ON,JULY
Somewhat,Somewhat,Very,Very,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Major impact,QC,JULY
Somewhat,Very,Very,Very,Extremely,Extremely,Very,Very,Very,Very,Somewhat,Not at all,Male,Not working at a job or business,Too soon to tell,NB,JULY
Not at all,Not at all,Very,Somewhat,Very,Very,Somewhat,Extremely,Somewhat,Very,Very,Very,Female,Strongly disagree,No impact,QC,JULY
Very,Very,Very,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Neither agree nor disagree,Moderate impact,SK,JULY
Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Somewhat,Not at all,Not at all,Not at all,Male,Strongly agree,Major impact,BC,OCT
Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Male,Disagree,No impact,ON,OCT
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Not at all,Female,Disagree,No impact,ON,OCT
Extremely,Extremely,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Very,Not at all,Female,Not working at a job or business,Moderate impact,ON,OCT
Not at all,Not at all,Very,Somewhat,Somewhat,Extremely,Somewhat,Not at all,Not at all,Very,Not at all,Not at all,Female,Neither agree nor disagree,Minor impact,BC,OCT
Extremely,Extremely,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Strongly agree,Major impact,ON,OCT
Very,Very,Extremely,Extremely,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,Disagree,Minor impact,BC,OCT
Somewhat,Somewhat,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Female,Strongly agree,Major impact,ON,OCT
Very,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Moderate impact,ON,OCT
Somewhat,Very,Extremely,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Very,Somewhat,Female,Strongly agree,Minor impact,BC,OCT
Very,Very,Extremely,Very,Very,Extremely,Not at all,Very,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,ON,OCT
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Strongly agree,Major impact,ON,OCT
Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Very,Not at all,Not at all,Male,Neither agree nor disagree,Major impact,BC,OCT
Very,Very,Extremely,Very,Very,Extremely,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Female,Neither agree nor disagree,No impact,ON,OCT
Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Strongly disagree,No impact,QC,OCT
Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,Too soon to tell,BC,OCT
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Not at all,Somewhat,Extremely,Extremely,Not at all,Not at all,Male,Strongly disagree,Minor impact,ON,OCT
Very,Very,Very,Very,Very,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Male,Neither agree nor disagree,Too soon to tell,QC,OCT
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Strongly agree,Moderate impact,BC,OCT
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Very,Extremely,Not at all,Female,Not working at a job or business,Major impact,ON,OCT
